Rule ID,Name,Result Part,Revision,Category,Quantity,Unit,Active,When,Notes
RRD-43,Pentacode Two-Button Remote,RRD-ELREM2C-PC,,MATERIAL_UPGRADE,1,Per Door,Yes,,"Qty from NUMREMOTEQTY, activation starts 'Pentacode - 2'. Multi-slot: applies across CMBACT1-CMBACT4 / CMBRADAR1-2; set the condition per slot in the editor."
RRD-44,Pentacode Four-Button Remote,RRD-ELREM1C-PC,,MATERIAL_UPGRADE,1,Per Door,Yes,,"Qty from NUMREMOTEQTY, activation starts 'Pentacode - 4'. Multi-slot: applies across CMBACT1-CMBACT4 / CMBRADAR1-2; set the condition per slot in the editor."
RRD-45,Elsema One-Button Remote,RRD-ELREM1C,,MATERIAL_UPGRADE,1,Per Door,Yes,,"Qty from NUMREMOTEQTY, activation starts 'Elsema Remote - 1'. Multi-slot: applies across CMBACT1-CMBACT4 / CMBRADAR1-2; set the condition per slot in the editor."
RRD-46,Elsema Two-Button Remote,RRD-ELREM2C,,MATERIAL_UPGRADE,1,Per Door,Yes,,"Qty from NUMREMOTEQTY, activation starts 'Elsema Remote - 2'. Multi-slot: applies across CMBACT1-CMBACT4 / CMBRADAR1-2; set the condition per slot in the editor."
RRD-47,Elsema Four-Button Remote,RRD-ELREM4C,,MATERIAL_UPGRADE,1,Per Door,Yes,,"Qty from NUMREMOTEQTY, activation starts 'Elsema Remote - 4'. Multi-slot: applies across CMBACT1-CMBACT4 / CMBRADAR1-2; set the condition per slot in the editor."
RRD-48,Elsema Eight-Button Remote,RRD-ELREM8C,,MATERIAL_UPGRADE,1,Per Door,Yes,,"Qty from NUMREMOTEQTY, activation starts 'Elsema Remote - 8'. Multi-slot: applies across CMBACT1-CMBACT4 / CMBRADAR1-2; set the condition per slot in the editor."
RRD-49,Hold Open Switch,RRD-SWITCH-TOGGLE-22MM,,MATERIAL_UPGRADE,1,Per Door,Yes,CHKHOLDOPEN is checked,
RRD-50,Interlock,OPTION-INTERLOCK,,MATERIAL_UPGRADE,1,Per Door,Yes,CHKINTERLOCK is checked,
RRD-51,Chain Operator,OPTION-CHAIN-OPERATOR,,MATERIAL_UPGRADE,1,Per Door,Yes,"CMBMOTORORIDE = Chain Drive AND CMBDOORMODEL not in HS65, HS50, HS50-THERMIC, CONCERTINA, MOVIFOLD",
RRD-52,Rear-Hood Brush Seal,OPTION-REARHOOD-BBSUPG,,MATERIAL_UPGRADE,1,Per Door,Yes,CMBREARHOODBRUSHSEAL contains Yes,
RRD-53,Concealed SOB - Large,OPTION-SOB-CONCEALED,HS65,MATERIAL_UPGRADE,1,Per Door,Yes,"CMBCUSTSTEEL contains SOB- AND CMBTRACKCONFIG = Concealed AND CMBDOORMODEL in HS50, HS50-THERMIC, HS65",
RRD-54,Concealed SOB - Standard,OPTION-SOB-CONCEALED,HS35,MATERIAL_UPGRADE,1,Per Door,Yes,"CMBCUSTSTEEL contains SOB- AND CMBTRACKCONFIG = Concealed AND CMBDOORMODEL not in CONCERTINA, MOVIFOLD, HS50, HS50-THERMIC, HS65",
RRD-55,EX35 Felt Seal,OPTION-RRD-FELTSEAL-PRESSURE,,MATERIAL_UPGRADE,1,Per Door,Yes,CHKEX35FELT is checked,
RRD-56,Hyperlift Discount - Small,OPTION-RRD-HYP-DISCOUNT,SML,MATERIAL_DISCOUNT,1,Per Door,Yes,"CHKHYPERLIFT is checked AND CMBDOORMODEL in EX35, EX45",
RRD-57,Hyperlift Discount - Medium,OPTION-RRD-HYP-DISCOUNT,MED,MATERIAL_DISCOUNT,1,Per Door,Yes,"CHKHYPERLIFT is checked AND CMBDOORMODEL in HS35, HS35-THERMIC",
RRD-58,Hyperlift Discount - Large,OPTION-RRD-HYP-DISCOUNT,LGE,MATERIAL_DISCOUNT,1,Per Door,Yes,"CHKHYPERLIFT is checked AND CMBDOORMODEL not in ES40, BUGSTOP, EX35, EX45, HS35, HS35-THERMIC",
RRD-59,Heating Discount - IP54,OPTION-RRD-HEAT1-DISCOUNT,,MATERIAL_DISCOUNT,1,Per Door,Yes,"CMBDOORMODEL in MOVICHILL, HS35-THERMIC, HS50-THERMIC AND CMBGEARBOXHEATER = No AND CMBHEATTRACEHOOD = No AND CMBHEATTRACELEG = No AND CMBCONTROLLERENCLOSURE = Std ABS IP54",
RRD-60,Heating Discount - IP66,OPTION-RRD-HEAT2-DISCOUNT,,MATERIAL_DISCOUNT,1,Per Door,Yes,"CMBDOORMODEL in MOVICHILL, HS35-THERMIC, HS50-THERMIC AND CMBGEARBOXHEATER = No AND CMBHEATTRACEHOOD = No AND CMBHEATTRACELEG = No AND CMBCONTROLLERENCLOSURE contains IP66",
RRD-61,Single Induction Loop Discount,OPTION-RRD-SINGLELOOP-DISCOUNT,,MATERIAL_DISCOUNT,1,Per Door,Yes,,Activation starts 'Induction Loop -' AND contains 'Only'. Multi-slot: applies across CMBACT1-CMBACT4 / CMBRADAR1-2; set the condition per slot in the editor.
RRD-62,Floor Loop Cutting,FLOOR LOOP CUTTING,,INSTALLATION,1,Per Door,Yes,,Any CMBACT1-4 contains 'Induction Loop -'. Multi-slot: applies across CMBACT1-CMBACT4 / CMBRADAR1-2; set the condition per slot in the editor.
